feature_names,importance
wap_mean,831.139592641592
stock_id,1345.0678057670593
volume_imbalance_mean_300,1591.0589190602302
trade_size_sum_300,1713.1699890851974
bid_spread_mean_300,2120.8990503132345
wap_mean_300,2252.4196252286433
trade_order_count_mean_300,2500.577469432354
total_volume_mean_300,2902.3549115240576
trade_size_sum,3411.8359919369223
bid_spread_mean,3957.811621129513
wap_balance_mean,4725.774586451053
wap_balance_mean_300,5548.195130640268
ask_spread_mean_300,6418.894997501373
total_volume_mean,7978.023523920774
trade_order_count_mean,10376.350271689891
trade_seconds_in_bucket_count_unique,11131.257772809267
trade_seconds_in_bucket_count_unique_300,14653.785668325425
volume_imbalance_mean,15334.414512962103
price_spread_mean_300,16462.720825469492
price_spread_mean,17712.534623318912
trade_log_return_realized_volatility_300,23828.883812826873
ask_spread_mean,29961.539208078386
trade_log_return_realized_volatility,33642.00092193484
stock_id_target_enc,39820.16288836002
log_return2_realized_volatility_300,109783.25481641889
log_return2_realized_volatility,278518.9598911524
log_return_realized_volatility_300,783563.3979669989
log_return_realized_volatility,2953421.3382791877
